id,code,name,source,name@ro
unece_g75,G75,millilitre per minute kelvin,rec20,mililitru pe minut kelvin
unece_g76,G76,millilitre per second kelvin,rec20,mililitru pe secundă kelvin
unece_g77,G77,millimetre to the fourth power,rec20,milimetru la a patra putere
unece_g78,G78,cubic centimetre per day bar,rec20,centimetru cub pe zi bar
unece_g79,G79,cubic centimetre per hour bar,rec20,centimetru cub pe oră bar
unece_g80,G80,cubic centimetre per minute bar,rec20,centimetru cub pe minut bar
unece_g81,G81,cubic centimetre per second bar,rec20,centimetru cub pe secundă bar
unece_g82,G82,litre per day bar,rec20,litru pe zi bar
unece_g83,G83,litre per hour bar,rec20,litru pe oră bar
unece_g84,G84,litre per minute bar,rec20,litru pe minut bar
unece_g85,G85,litre per second bar,rec20,litru pe secundă bar
unece_g86,G86,cubic metre per day bar,rec20,metru cub pe zi bar
unece_g87,G87,cubic metre per hour bar,rec20,metru cub pe oră bar
unece_g88,G88,cubic metre per minute bar,rec20,metru cub pe minut bar
unece_g89,G89,cubic metre per second bar,rec20,metru cub pe secundă bar
unece_g90,G90,millilitre per day bar,rec20,mililitru pe zi bar
unece_g91,G91,millilitre per hour bar,rec20,mililitru pe oră bar
unece_g92,G92,millilitre per minute bar,rec20,mililitru pe minut bar
unece_g93,G93,millilitre per second bar,rec20,mililitru pe secundă bar
unece_g94,G94,cubic centimetre per bar,rec20,centimetru cub pe secundă bar
unece_g95,G95,litre per bar,rec20,litru pe bar
unece_g96,G96,cubic metre per bar,rec20,metru cub pe bar
unece_g97,G97,millilitre per bar,rec20,mililitru pe bar
unece_g98,G98,microhenry per kiloohm,rec20,microhenry per kiloohm
unece_g99,G99,microhenry per ohm,rec20,microhenry per ohm
unece_gb,GB,gallon (US) per day,rec20,galon (SUA) pe zi
unece_gbq,GBQ,gigabecquerel,rec20,gigabecquerel
unece_gdw,GDW,"gram, dry weight",rec20,"gram, greutate uscată"
unece_ge,GE,pound per gallon (US),rec20,liră pe galon (SUA)
unece_gf,GF,gram per metre (gram per 100 centimetres),rec20,gram pe metru (gram pe 100 de centimetri)
unece_gfi,GFI,gram of fissile isotope,rec20,gram de izotop fisionabil
unece_ggr,GGR,great gross,rec20,great gross (duzină brută)
unece_gia,GIA,gill (US),rec20,gill (unitate de timp)
unece_gic,GIC,"gram, including container",rec20,"gram, inclusiv container"
unece_gii,GII,gill (UK),rec20,gill (Marea Britanie)
unece_gip,GIP,"gram, including inner packaging",rec20,"gram, inclusiv ambalajul interior"
unece_gj,GJ,gram per millilitre,rec20,gram pe mililitru
unece_gl,GL,gram per litre,rec20,gram pe litru
unece_gld,GLD,dry gallon (US),rec20,galon material uscat (SUA)
unece_gli,GLI,gallon (UK),rec20,galon (Marea Britanie)
unece_gll,GLL,gallon (US),rec20,galon (SUA)
unece_gm,GM,gram per square metre,rec20,gram pe metru pătrat
unece_go,GO,milligram per square metre,rec20,miligram pe metru pătrat
unece_gp,GP,milligram per cubic metre,rec20,miligram pe metru cub
